Descriptive,,,,,,,,,Scoring (Toy Model),,,,,,,,
Category,Idea,Description,Examples,Literature examples,Scope (Global vs. National),Failure modes,Closest current/ historical equivalent,Current progress,Verifiability,Institutional Fit (China US),Capacity Load (reverse-scored),Evasion Resistance,Scalability (to different countries),Political Ease of implementation,Impact if successful,Impact Rating,Notes on ratings
3. Regulatory/Legal Mechanisms,Market-shaping mechanisms,Use mechanisms like prizes and advance market commitments to incentivize broad dissemination of products and safety features ,Windfall clause (Bostrom),https://www.ucl.ac.uk/bartlett/public-purpose/publications/2023/jan/collective-response-our-global-challenges-common-good-and-market-shaping ; https://arxiv.org/html/2507.06379,Multiple,Subsidy gaming; misallocation; firms get benefits without safety improvements; not comprehensive enough.,AMCs for vaccines; clean-tech subsidies.,Discussed in policy papers; some funding for AI safety research but no global mechanism.,1,2.5,2,1.5,2,2,1.5,16.5,
3. Regulatory/Legal Mechanisms,Frontier Safety Frameworks,Frontier labs pledge voluntary to abide by certain safety principles,"Frontier Safety Frameworks, Seoul (plus)",https://www.gov.uk/government/publications/frontier-ai-safety-commitments-ai-seoul-summit-2024/frontier-ai-safety-commitments-ai-seoul-summit-2024,Lab-based,Box-ticking; vague commitments; labs defect if costly.,Responsible Care (chemicals industry pledges).,"Voluntary pledges at 2023–24 AI Summits (UK, Seoul).",2,1.5,2,2,2,2,1.5,17.25,
3. Regulatory/Legal Mechanisms,Pre-deployment evaluation,"Safety tests, evaluations, red-teaming","Frontier Safety Frameworks, EU AI Act, A Narrow Path",https://www.mofa.go.jp/files/100573473.pdf ,Lab-based,Firms stage-manage tests; benchmarks lag capabilities; red-teaming becomes perfunctory.,FDA drug trials; product safety testing.,"Referenced in EU AI Act, US voluntary commitments, Anthropic RSPs.",2,2,2,2,2,2,1.5,18,
3. Regulatory/Legal Mechanisms,Mandatory transparency reports,Labs are obliged to submit reports to a national or international body,EU AI Act,https://futurium.ec.europa.eu/pt/european-ai-alliance/document/navigating-article-5-eu-ai-act-what-enterprises-need-know,Multiple,Firms can deceive or hide information; information overload; regulators might struggle to process data.,Environmental reporting mandates.,EU AI Act requires transparency filings; some US proposals.,2.5,2,2.5,1.5,2.5,2.5,1.5,20.25,
3. Regulatory/Legal Mechanisms,Sector-specific prohibitions,"Limiting use of AI in biotech, military etc.","Stop Killer Robots, EU AI Act",https://www.stopkillerrobots.org/,Multiple,Dual-use ambiguity; firms relabel use cases; enforcement leaks to illicit markets.,Bioweapons bans; “Stop Killer Robots” advocacy.,EU AI Act includes high-risk domain prohibitions; NGO campaigns ongoing.,2,3,2.5,1.5,2.5,2,1.5,20.25,
3. Regulatory/Legal Mechanisms,Incident reporting registry,Shared error disclosure,"EU AI Act, G7 Hiroshima Process",https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/02/towards-a-common-reporting-framework-for-ai-incidents_8c488fdb/f326d4ac-en.pdf,Global,Under-reporting; fear of liability; firms classify incidents away.,Aviation safety reporting systems; cybersecurity breach notifications; IAEA,OECD and EU working on harmonised incident reporting; early draft frameworks.,2,2.5,3,1.5,3,2.5,1.5,21.75,
3. Regulatory/Legal Mechanisms,Model registry,Registering models/use-cases,EU AI Act,https://artificialintelligenceact.eu/article/49/ ; https://www.convergenceanalysis.org/research/ai-model-registries-a-foundational-tool-for-ai-governance,Multiple,Non-compliance (secret models); skirting around definitions of overly large or dangerous models,Chemical inventories; aircraft registries.,EU AI Act Article 49; convergenceanalysis.org proposals.,2.5,3,2.5,1.5,3,2.5,1.5,22.5,
3. Regulatory/Legal Mechanisms,Standard Setting,Voluntary norms to encourage standards,"G7 Hiroshima Process, IEC/ISO Working Group",https://www.iso.org/committee/6794475.html ; https://cloudsecurityalliance.org/blog/2025/05/08/iso-42001-lessons-learned-from-auditing-and-implementing-the-framework,Multiple,Weak uptake if voluntary; divergence across jurisdictions; industry capture of committees.,"ISO, IEC, W3C standards.","ISO/IEC AI committees, G7 Hiroshima guidelines, ISO 42001 standard.",1.5,3,3,1.5,3,3,1.5,22.5,
3. Regulatory/Legal Mechanisms,Staged capability thresholds,Agree to pause or tighten rules at specific capability milestones,A Narrow Path,https://law-ai.org/the-role-of-compute-thresholds-for-ai-governance/,Multiple,Thresholds gamed; incentives to underestimate capabilities; uneven adoption.,Arms-control treaties tied to missile counts; Basel banking accords.,"Increasing traction (compute thresholds in Narrow Path, EU AI Act debate",2,2,2,2,2,2,2,24,
3. Regulatory/Legal Mechanisms,Licensing,"Approvals for models based on certain requirements, such as compute thresholds or capability tests",A Narrow Path,https://data.consilium.europa.eu/doc/document/ST-5662-2024-INIT/en/pdf,Multiple,Shadow labs operate unlicensed; capture by dominant firms; uneven enforcement.,Aviation licences; nuclear plant licensing.,EU AI Act prototypes; China’s CAC licensing regime.,2,2.5,2,2,2,2,2,25,
4. Technical & Infrastructural Controls,Energy/Power-use monitoring,Using monitoring of utilities to observe high power usage associated with GPU use,Compute at Scale (Pilz and Heim),https://arxiv.org/abs/2311.02651,Multiple,False metering; signal not specific to AI training.,Industrial power audits; cryptocurrency mining crackdowns.,Proposed in Heim & Pilz “Compute at Scale”; some Chinese provinces already monitoring power anomalies.,2,2,2,1.5,2,2,1,11.5,
4. Technical & Infrastructural Controls,Kill-switch protocols,Technical mechanisms to enable emergency suspension of a training run or inference process,"EU AI Act, Frontier Safety Frameworks",https://www.lesswrong.com/posts/pvfr5FqcnA7txDPZm/non-technical-strategies-for-confronting-a-human-level-ai,Multiple,Developers disable or fake compliance; accidental triggers; politically unacceptable to mandate.,Nuclear “permissive action links”; emergency stop systems in aviation.,"Mostly conceptual; some mention in EU AI Act and safety pledges, no technical standards.",2,1,1.5,1.5,1,1,2,16,
4. Technical & Infrastructural Controls,Export controls,"Limiting the export of chips, compute or talent","CHIPS Act, Gov.AI (various), Rand",https://www.lesswrong.com/posts/BkzeJZCuCyrQrEMAi/dario-amodei-on-deepseek-and-export-controls,National,"Smuggling, grey markets, re-export via intermediaries; incentives for indigenous capability.","Nuclear dual-use export controls; semiconductor sanctions (COCOM, Wassenaar).",Active: US/EU/Japan controls on advanced GPUs; China imposing talent outflow restrictions.,2.5,3,2,2.5,2,2,1.5,21,
4. Technical & Infrastructural Controls,Hardware-based verification,On-chip mechanisms to stop misuse or use that contravenes a limitation,"A Narrow Path, Rand, Gov.AI (various), Heritage Foundation",https://arxiv.org/html/2505.03742v1,National,Circumvention by modifying firmware; compromised fabs; jurisdictional divergence in standards.,Trusted Platform Modules (TPMs); Digital Rights Management (DRM) enforcement; IMEI device tracking.,Early discussion in RAND/GovAI papers; chipmakers experimenting with secure enclaves.,3,2,2,2.5,2,1.5,2,26,
4. Technical & Infrastructural Controls,Cloud-based enforcement,Using cloud-based mechanisms to stop access to certain hardware or processes (e.g. model training or inference),Gov.AI (various),https://cdn.governance.ai/Governing-Through-the-Cloud_The-Intermediary-Role-of-Compute-Providers-in-AI-Regulation.pdf,National,Regulatory arbitrage (training outside covered providers); false reporting; privacy pushback.,Financial KYC (Know-Your-Customer) requirements enforced through banks; App Store gatekeeping.,"Momentum growing: US, UK, GovAI papers on “Governing through the Cloud”; pilots for compute usage logging.",3,2,2,2,2.5,2,2,27,
4. Technical & Infrastructural Controls,Technical compute caps,Using physical limits on chips or architectures so that models can't be built over a certain size,MIRI,https://arxiv.org/abs/2503.04746,Multiple,Workarounds via distributed training; new algorithms achieve more with less compute; enforcement costly.,OPEC production quotas; emissions caps; bandwidth throttling.,"Proposed by MIRI and others; not implemented, but compute thresholds discussed in AI Act drafts and Narrow Path.",2.5,2,2,1.5,2.5,1.5,2.5,30,
4. Technical & Infrastructural Controls,Software-based verification,"Monitors training processes or inference hrough cryptography, proof-of-learning etc.",D/Acc (Vitalik),https://futureoflife.org/ai/verifiable-training-of-ai-models/ ; https://arxiv.org/pdf/2506.23706,Multiple,Evasion through modified software stacks; log forgery or selective disclosure; slow adoption; regulators unable to interpret or act on logs,Blockchain attestations; software license verification; reproducible clinical trials; financial transaction audit trails.,Conceptual stage in governance papers; some prototypes (AI “passports”); not yet standardised.,2.5,2,2,1.5,2,1.5,2,23,
